Unnamed: 0,Με αυτό το χρώμα ορίζονται τα κελιά εισόδου δεδομένων με ελεύθερη τιμή,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
Πότε καταναλώνετε την περισσότερη ενέργεια;,Απόγευμα-Βράδυ,"Πρωί-Μεσημέρι, Απόγευμα-Βράδυ",Ο χρήστης επιλέγει μία από τις 2 επιλογές,,,,Ετήσια παραγωγή φ/β στην περιοχή λόγω προσανατολισμού kWh/kWp,1441.5,,Η ετήσια παραγωγή του φωτοβολταϊκού σας συστήματος είναι (kWh),11536,,,,,,,,,,,,
Σε ποια περιφέρεια βρίσκεται το ακίνητό σας;,Δυτική Ελλάδα,,,,,,τ.μ/kW,5.0,,Και για να το εγκαταστήσετε χρειάζεστε λιγότερο από τ.μ,40.013874436351024,,,,,,,,,,,,
Διαθέτει στέγη ή ταράτσα;,Στέγη,,Να ληφθεί υπόψιν η προτεινόμενη αποθηκευτική ικανότητα?,Όχι,,,Συντελεστής μετατροπής σε πρωτογενή ενέργεια (PEF),2.5,,Προτεινομένη χωρητικότητα αποθηκευτικού συστήματος (kWh),22.123835616438356,,Τιμές για διαγράμματα,,,,,,,,,,
Ποιος είναι ο προσανατολισμός της στέγης;,ΝΔ,,"Εάν όχι, τότε πόσες kWh αποθήκευση θα επιλεγούν?",12,,,CO2 emmisions factor,0.989,,Επιλεγμένη χωρητικότητα αποθηκευτικού συστήματος (kWh),12,,Κόστος χωρίς το Aftonomo,4230.943359999999,,,,,,,,,
Διαθέσιμα τετραγωνικά μέτρα,75,,Να ληφθεί υπόψιν η εξοικονόμηση που επιτυγχάνει η μπαταρία? ,Ναι,,,,,,Τελική χωρητικότητα αποθηκευτικού συστήματος (kWh),12,,Κόστος με το Aftonomo,393.7467519999991,,,,,,,,,
,,,,,,,,,,Για ηλεκτρική ενέργεια πληρώνατε περίπου €/έτος,4230.943359999999,,Εξοικονόμηση,4050.765408,,,,,,,,,
,,,,,,,,,,λαμβάνεται υπόψη μόνο το σκέλος του λογαριασμού στο οποίο μπορούμε να πετύχουμε εξοικονομηση,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ανάλυση Ευσαισθησίας,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Πίνακας Ανάλυσης Ευαισθησίας,,4050.765408,,Κόστος Προμήθειας €/kWh,Εκτιμώμενη Ετήσια Εξοικονόμηση,,,,,,,
,,,,,,,,,,,,0.09,1482.8518080000001,,0.09,1482.8518080000001,,,,,,,
,,,,,,,,,,,,0.12,1849.696608,,0.12,1849.696608,,,,,,,
,,,,,,,,,,,,0.15,2216.541408,,0.15,2216.541408,,,,,,,
,,,,,,,,,,,,0.18,2583.3862080000004,,0.18,2583.3862080000004,,,,,,,
,,,,,,,,,,,,0.21,2950.231008,,0.21,2950.231008,,,,,,,
,,,,,,,,,,,,0.24,3317.075808,,0.24,3317.075808,,,,,,,
,,,,,,,,,,,,0.27,3683.920608000001,,0.27,3683.920608000001,,,,,,,
,,,,,,,,,,,,0.3,4050.765408,,0.3,4050.765408,,,,,,,
,,,,,,,,,,,Αυτόν τον πίνακα δεν τον πειράζουμε,,,,Αυτόν τον πίνακα χρησιμοποιούμε,,,,,,,,
